0,0.324,0.239,0.239,0.324,0.498,0.655,0.239,0.655,0.239,0.239,0.268,0.239,0.239,0.239,0.2835,0.239,0.846,0.498,0.324,0,0.257,0.129,0.129,0.0315,0.0315,0.727,0.166,0.7465,0.34,0.405,0.482,0.0395,0.226,0.0945,0.34,0.0395,0.416,0.5845,0.424,0,0.2515,0.2735,0.482,0.1445,0.1445,0.8175,0.2735,0.704,0.4785,0.5975,0.596,0.1445,0.2995,0.194,0.58,0.1445,0.8015,0.704,0.671,0,0.1885,0.0565,0.1135,0.0185,0.017,0.361,0.1135,0.361,0.143,0.243,0.1435,0.0355,0.0565,0.041,0.168,0.0355,0.1025,0.147,0.177,0,0.239,0.1495,0.1205,0.0175,0.0175,0.1505,0.1205,0.048,0.154,0.048,0.069,0.0435,0.059,0.0155,0.059,0.0435,0.029,0.1135,0.176
0.324,0,0.324,0.324,0.324,0.498,0.655,0.324,0.655,0.324,0.324,0.324,0.324,0.324,0.324,0.324,0.324,0.846,0.498,0.324,0.257,0,0.257,0.257,0.257,0.257,0.727,0.257,0.7465,0.34,0.405,0.482,0.257,0.257,0.257,0.34,0.257,0.416,0.5845,0.424,0.2515,0,0.2735,0.482,0.2515,0.2515,0.8175,0.2735,0.704,0.4785,0.5975,0.596,0.2515,0.2995,0.2515,0.58,0.2515,0.8015,0.704,0.671,0.1885,0,0.1885,0.1885,0.1885,0.1885,0.361,0.1885,0.361,0.1885,0.243,0.1885,0.1885,0.1885,0.1885,0.1885,0.1885,0.1885,0.1885,0.1885,0.239,0,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239
0.239,0.324,0,0.173,0.324,0.498,0.655,0.138,0.655,0.232,0.173,0.268,0.1165,0.1165,0.239,0.2835,0.1165,0.846,0.498,0.324,0.129,0.257,0,0.129,0.129,0.129,0.727,0.166,0.7465,0.34,0.405,0.482,0.129,0.226,0.129,0.34,0.129,0.416,0.5845,0.424,0.2735,0.2735,0,0.482,0.2735,0.2735,0.8175,0.2735,0.704,0.4785,0.5975,0.596,0.2735,0.2995,0.2735,0.58,0.2735,0.8015,0.704,0.671,0.0565,0.1885,0,0.1135,0.0565,0.0565,0.361,0.1135,0.361,0.143,0.243,0.1435,0.0565,0.0565,0.0565,0.168,0.0565,0.1025,0.147,0.177,0.1495,0.239,0,0.1495,0.1495,0.1495,0.1505,0.1495,0.1495,0.154,0.1495,0.1495,0.1495,0.1495,0.1495,0.1495,0.1495,0.1495,0.1495,0.176
0.239,0.324,0.173,0,0.324,0.498,0.655,0.173,0.655,0.232,0.173,0.268,0.173,0.173,0.239,0.2835,0.173,0.846,0.498,0.324,0.129,0.257,0.129,0,0.129,0.129,0.727,0.166,0.7465,0.34,0.405,0.482,0.129,0.226,0.129,0.34,0.129,0.416,0.5845,0.424,0.482,0.482,0.482,0,0.482,0.482,0.8175,0.482,0.704,0.482,0.5975,0.596,0.482,0.482,0.482,0.58,0.482,0.8015,0.704,0.671,0.1135,0.1885,0.1135,0,0.1135,0.1135,0.361,0.1135,0.361,0.143,0.243,0.1435,0.1135,0.1135,0.1135,0.168,0.1135,0.1135,0.147,0.177,0.1205,0.239,0.1495,0,0.1205,0.1205,0.1505,0.1205,0.1205,0.154,0.1205,0.1205,0.1205,0.1205,0.1205,0.1205,0.1205,0.1205,0.1205,0.176
0.324,0.324,0.324,0.324,0,0.498,0.655,0.324,0.655,0.324,0.324,0.324,0.324,0.324,0.324,0.324,0.324,0.846,0.498,0.324,0.0315,0.257,0.129,0.129,0,0.025,0.727,0.166,0.7465,0.34,0.405,0.482,0.0395,0.226,0.0945,0.34,0.0395,0.416,0.5845,0.424,0.1445,0.2515,0.2735,0.482,0,0.1145,0.8175,0.2735,0.704,0.4785,0.5975,0.596,0.1145,0.2995,0.194,0.58,0.1145,0.8015,0.704,0.671,0.0185,0.1885,0.0565,0.1135,0,0.0185,0.361,0.1135,0.361,0.143,0.243,0.1435,0.0355,0.0565,0.041,0.168,0.0355,0.1025,0.147,0.177,0.0175,0.239,0.1495,0.1205,0,0.0175,0.1505,0.1205,0.048,0.154,0.048,0.069,0.0435,0.059,0.0175,0.059,0.0435,0.029,0.1135,0.176
0.498,0.498,0.498,0.498,0.498,0,0.655,0.498,0.655,0.498,0.498,0.498,0.498,0.498,0.498,0.498,0.498,0.846,0.498,0.498,0.0315,0.257,0.129,0.129,0.025,0,0.727,0.166,0.7465,0.34,0.405,0.482,0.0395,0.226,0.0945,0.34,0.0395,0.416,0.5845,0.424,0.1445,0.2515,0.2735,0.482,0.1145,0,0.8175,0.2735,0.704,0.4785,0.5975,0.596,0.1145,0.2995,0.194,0.58,0.1145,0.8015,0.704,0.671,0.017,0.1885,0.0565,0.1135,0.0185,0,0.361,0.1135,0.361,0.143,0.243,0.1435,0.0355,0.0565,0.041,0.168,0.0355,0.1025,0.147,0.177,0.0175,0.239,0.1495,0.1205,0.0175,0,0.1505,0.1205,0.048,0.154,0.048,0.069,0.0435,0.059,0.0175,0.059,0.0435,0.029,0.1135,0.176
0.655,0.655,0.655,0.655,0.655,0.655,0,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.846,0.655,0.655,0.727,0.727,0.727,0.727,0.727,0.727,0,0.727,0.7465,0.727,0.727,0.727,0.727,0.727,0.727,0.727,0.727,0.727,0.727,0.727,0.8175,0.8175,0.8175,0.8175,0.8175,0.8175,0,0.8175,0.8175,0.8175,0.8175,0.8175,0.8175,0.8175,0.8175,0.8175,0.8175,0.8175,0.8175,0.8175,0.361,0.361,0.361,0.361,0.361,0.361,0,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.1505,0.239,0.1505,0.1505,0.1505,0.1505,0,0.1505,0.1505,0.154,0.1505,0.1505,0.1505,0.1505,0.1505,0.1505,0.1505,0.1505,0.1505,0.176
0.239,0.324,0.138,0.173,0.324,0.498,0.655,0,0.655,0.232,0.173,0.268,0.138,0.138,0.239,0.2835,0.138,0.846,0.498,0.324,0.166,0.257,0.166,0.166,0.166,0.166,0.727,0,0.7465,0.34,0.405,0.482,0.166,0.226,0.166,0.34,0.166,0.416,0.5845,0.424,0.2735,0.2735,0.2735,0.482,0.2735,0.2735,0.8175,0,0.704,0.4785,0.5975,0.596,0.2735,0.2995,0.2735,0.58,0.2735,0.8015,0.704,0.671,0.1135,0.1885,0.1135,0.1135,0.1135,0.1135,0.361,0,0.361,0.143,0.243,0.1435,0.1135,0.1135,0.1135,0.168,0.1135,0.1135,0.147,0.177,0.1205,0.239,0.1495,0.1205,0.1205,0.1205,0.1505,0,0.1205,0.154,0.1205,0.1205,0.1205,0.1205,0.1205,0.1205,0.1205,0.1205,0.1205,0.176
0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.846,0.655,0.655,0.7465,0.7465,0.7465,0.7465,0.7465,0.7465,0.7465,0.7465,0,0.7465,0.7465,0.7465,0.7465,0.7465,0.7465,0.7465,0.7465,0.7465,0.7465,0.7465,0.704,0.704,0.704,0.704,0.704,0.704,0.8175,0.704,0,0.704,0.704,0.704,0.704,0.704,0.704,0.704,0.704,0.8015,0.704,0.704,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.048,0.239,0.1495,0.1205,0.048,0.048,0.1505,0.1205,0,0.154,0.048,0.069,0.048,0.059,0.048,0.059,0.048,0.048,0.1135,0.176
0.239,0.324,0.232,0.232,0.324,0.498,0.655,0.232,0.655,0,0.232,0.268,0.232,0.232,0.239,0.2835,0.232,0.846,0.498,0.324,0.34,0.34,0.34,0.34,0.34,0.34,0.727,0.34,0.7465,0,0.405,0.482,0.34,0.34,0.34,0.34,0.34,0.416,0.5845,0.424,0.4785,0.4785,0.4785,0.482,0.4785,0.4785,0.8175,0.4785,0.704,0,0.5975,0.596,0.4785,0.4785,0.4785,0.58,0.4785,0.8015,0.704,0.671,0.143,0.1885,0.143,0.143,0.143,0.143,0.361,0.143,0.361,0,0.243,0.1435,0.143,0.143,0.143,0.168,0.143,0.143,0.147,0.177,0.154,0.239,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.176
